kor,no,url,part
ㅛ,10856,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005888/MOV000359890_700X466.mp4,
ㅛ요,20352,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160419/290883/MOV000287235_700X466.mp4,명사
ㅜ,11745,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001927/MOV000359504_700X466.mp4,
ㅜ우,20355,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290240/MOV000287245_700X466.mp4,명사
ㅝ,11752,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001930/MOV000359507_700X466.mp4,
ㅝ워,20358,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290242/MOV000287253_700X466.mp4,명사
ㅞ,10872,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005889/MOV000359891_700X466.mp4,
ㅞ웨,20362,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290243/MOV000287269_700X466.mp4,명사
ㅟ,11755,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001939/MOV000359516_700X466.mp4,
ㅟ위,20363,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290244/MOV000287272_700X466.mp4,명사
ㅠ,12921,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009753/MOV000360050_700X466.mp4,
ㅠ유,20364,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290245/MOV000287274_700X466.mp4,명사
ㅡ,10880,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005890/MOV000359892_700X466.mp4,
ㅢ,11762,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220727/1001948/MOV000359525_700X466.mp4,
ㅢ의,20438,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290269/MOV000287527_700X466.mp4,명사
ㅣ,11764,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220811/1009678/MOV000359988_700X466.mp4,
ㅣ이,20460,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/290272/MOV000287613_700X466.mp4,명사
가감,7587,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239422/MOV000249336_700X466.mp4,
가건물,11944,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239423/MOV000249338_700X466.mp4,
가게,7588,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239424/MOV000249340_700X466.mp4,
가게,11699,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190918/615396/MOV000258781_700X466.mp4,
가게,12229,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160107/242241/MOV000254927_700X466.mp4,
